district,anomaly
คลองสาน,0
คลองสามวา,1
คลองเตย,0
คันนายาว,1
จตุจักร,1
จอมทอง,2
ดอนเมือง,1
ดินแดง,0
ดุสิต,1
ตลิ่งชัน,1
ทวีวัฒนา,1
ทุ่งครุ,0
ธนบุรี,1
บางกอกน้อย,1
บางกอกใหญ่,0
บางกะปิ,1
บางขุนเทียน,0
บางคอแหลม,1
บางซื่อ,1
บางนา,1
บางบอน,3
บางพลัด,1
บางรัก,1
บางเขน,1
บางแค,1
บึงกุ่ม,1
ปทุมวัน,1
ประเวศ,1
ป้อมปราบศัตรูพ่าย,1
พญาไท,1
พระนคร,1
พระโขนง,1
ภาษีเจริญ,1
มีนบุรี,3
ยานนาวา,1
ราชเทวี,1
ราษฎร์บูรณะ,1
ลาดกระบัง,0
ลาดพร้าว,1
วังทองหลาง,2
วัฒนา,1
สวนหลวง,1
สะพานสูง,0
สัมพันธวงศ์,1
สาทร,1
สายไหม,0
หนองจอก,1
หนองแขม,0
หลักสี่,1
ห้วยขวาง,1
